date,precipitation (mm),temperature (°C),potential evapotranspiration (mm),flow (m³/s),suspended sediment (mg/L),total phosphorus (mg/L),nitrate (mg/L)
1994-01-01,0.93901,-1.93220,0.09044,116.40450,25.07000,0.20119,11.52095
1994-01-02,0.03998,-4.89020,0.00000,103.81050,23.28800,0.20706,11.87050
1994-01-03,0.31747,-1.84543,0.07101,93.96200,21.16950,0.21173,11.69700
1994-01-04,5.84234,3.34120,0.14668,122.42350,25.95600,0.19217,10.08180
1994-01-05,0.31788,-1.46772,0.22202,111.91150,23.36750,0.20023,11.01565
1994-01-06,0.00000,-0.81244,0.34121,101.10500,21.47200,0.20674,11.30985
1994-01-07,0.02153,-1.28554,0.00039,92.14450,19.93950,0.21190,11.15800
1994-01-08,0.00959,-2.71967,0.00100,84.82750,18.42050,0.21618,10.86925
1994-01-09,0.81917,-0.39707,0.05408,80.04200,16.81535,0.21843,10.54485
1994-01-10,0.65561,0.56228,0.05327,77.24000,16.12105,0.21914,10.22455
1994-01-11,11.34289,3.54856,0.13810,143.05950,27.37650,0.17953,7.85115
1994-01-12,0.00154,2.52283,0.11445,128.50000,24.67000,0.19204,9.50590
1994-01-13,0.00000,3.37390,0.06662,112.67700,22.28200,0.20027,10.24205
1994-01-14,7.18839,4.18202,0.19659,142.27000,28.33950,0.18468,9.14875
1994-01-15,0.01639,3.46910,0.32176,127.02000,25.44900,0.19327,10.40755
1994-01-16,0.38017,4.49588,0.10441,113.42050,23.36200,0.19928,10.94930
1994-01-17,7.85453,7.63158,0.02211,150.61000,29.54800,0.18085,9.34010
1994-01-18,0.02125,3.01425,0.00153,135.49500,26.27550,0.18903,10.71940
1994-01-19,0.03646,4.82632,0.34482,121.39950,24.23350,0.19546,11.27215
1994-01-20,2.52839,5.51975,0.06101,119.72800,24.51700,0.19548,11.06605
1994-01-21,0.00001,2.66392,0.00194,109.52300,22.28000,0.20076,11.27455
1994-01-22,2.67768,3.68087,0.18336,110.98650,22.77950,0.19878,10.76390
1994-01-23,8.45537,9.58724,0.47499,156.03000,29.40850,0.17908,8.97005
1994-01-24,0.19959,6.41586,0.48016,141.32500,26.68300,0.18843,10.35695
1994-01-25,0.00050,0.44147,0.00205,127.06500,24.71550,0.19494,11.28450
1994-01-26,0.32828,1.98635,0.16343,115.79000,23.17600,0.19972,11.39965
1994-01-27,0.22781,1.92192,0.10630,106.66300,21.39900,0.20385,11.18020
1994-01-28,4.23431,6.63116,0.15918,119.83600,23.96150,0.19503,10.04390
1994-01-29,3.97289,3.95032,0.52526,131.05900,25.22400,0.19057,10.03135
1994-01-30,1.95542,1.53894,0.03507,126.58350,24.46150,0.19400,10.64435
1994-01-31,0.21923,0.66520,0.15057,115.65650,22.58150,0.19954,10.98935
1994-02-01,0.65800,0.77576,0.16278,106.99050,21.23150,0.20339,10.88905
1994-02-02,0.21453,1.19108,0.18895,99.22000,19.77400,0.20712,10.61900
1994-02-03,0.00347,-0.97509,0.26787,92.60650,17.96115,0.20992,10.39395
1994-02-04,0.05808,0.58422,0.27272,86.96750,16.98750,0.21280,10.11400
1994-02-05,0.02452,-0.88488,0.19968,82.06800,16.05300,0.21522,9.90810
1994-02-06,0.17241,-0.44938,0.35702,77.98150,15.18800,0.21741,9.71230
1994-02-07,0.70618,-2.11783,0.08832,74.03600,14.33440,0.21993,9.54855
1994-02-08,0.13429,-2.06365,0.13690,70.41250,13.62105,0.22233,9.40230
1994-02-09,0.05733,-3.64517,0.05443,67.07700,12.85705,0.22476,9.26630
1994-02-10,0.00027,-2.74427,0.31403,63.99050,12.19845,0.22672,9.16600
1994-02-11,4.67245,1.44285,0.48917,87.96650,17.26700,0.20286,7.94330
1994-02-12,3.94548,4.81189,0.26657,107.27900,20.01000,0.19435,7.83260
1994-02-13,2.55097,5.20585,0.49523,112.42200,20.75150,0.19454,8.46540
1994-02-14,0.05804,10.95420,1.08868,100.88850,19.12250,0.20308,8.90435
1994-02-15,0.30320,11.53642,1.15094,90.60500,17.66950,0.20884,8.98575
1994-02-16,0.27519,9.87702,0.56710,82.22950,16.38300,0.21333,9.03910
1994-02-17,0.20071,10.42987,0.72414,75.42200,15.26850,0.21704,8.92325
1994-02-18,0.95928,11.36326,1.01960,70.88750,14.70565,0.21936,8.70430
1994-02-19,5.44609,10.75486,0.98826,81.99250,17.63500,0.20674,8.43375
